SessionKey,SessionType,Status,SegmentNumber,SegmentsCombined,SourceStart_s,SourceEnd_s,Duration_s,OutputFile,MissingChannels,EstimatedChannels,SourceFiles
brakestesting611,braking_event,exported_incomplete,6,1,3650.8,3702.5,51.7000000000003,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_7-31\brakestesting611_braking_event_006.txt,tempFLRaw; tempRLRaw,,BrakesTesting 6-11.txt
brakestesting611,braking_event,exported_incomplete,7,1,3753.8,3818.5,64.7000000000003,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_7-31\brakestesting611_braking_event_007.txt,tempFLRaw; tempRLRaw,,BrakesTesting 6-11.txt
brakestesting611,braking_event,exported_incomplete,8,1,3845.9,3917.8,71.9000000000001,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_7-31\brakestesting611_braking_event_008.txt,tempFLRaw; tempRLRaw,,BrakesTesting 6-11.txt
brakestesting611,braking_event,exported_incomplete,9,1,4172.6,4242.2,69.6000000000004,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_7-31\brakestesting611_braking_event_009.txt,tempFLRaw; tempRLRaw,,BrakesTesting 6-11.txt
brakestesting611,braking_event,exported_incomplete,10,1,4841.1,4985.5,144.400000000001,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_7-31\brakestesting611_braking_event_010.txt,tempFLRaw; tempRLRaw,,BrakesTesting 6-11.txt
brakestesting611,braking_event,exported_incomplete,11,1,5293.9,5434.4,140.5,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_7-31\brakestesting611_braking_event_011.txt,tempFLRaw; tempRLRaw,,BrakesTesting 6-11.txt
brakestesting611,braking_event,exported_incomplete,12,1,5506.7,5609.4,102.7,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_7-31\brakestesting611_braking_event_012.txt,tempFLRaw; tempRLRaw,,BrakesTesting 6-11.txt
endurance417,endurance_stint,exported_incomplete,1,1,2853.3,3359.9,506.6,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_7-31\endurance417_endurance_stint_001.txt,tempFLRaw; tempRLRaw,,Endurance 4-17.txt
endurance417,endurance_stint,exported_incomplete,2,1,3575.2,4503.4,928.2,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_7-31\endurance417_endurance_stint_002.txt,tempFLRaw; tempRLRaw,,Endurance 4-17.txt
endurance417,endurance_stint,exported_incomplete,3,1,4553.6,5280.9,727.299999999999,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_7-31\endurance417_endurance_stint_003.txt,tempFLRaw; tempRLRaw,,Endurance 4-17.txt
endurance519,endurance_stint,exported_incomplete,1,1,9413.6,11499.9,2086.3,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_7-31\endurance519_endurance_stint_001.txt,tempFLRaw; tempRLRaw,,Endurance 5-19.txt
endurance519,endurance_stint,exported_incomplete,2,1,11585,12186.9,601.9,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_7-31\endurance519_endurance_stint_002.txt,tempFLRaw; tempRLRaw,,Endurance 5-19.txt
endurance529,endurance_stint,exported_incomplete,1,1,91.1,1494,1402.9,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_7-31\endurance529_endurance_stint_001.txt,tempFLRaw; tempRLRaw,,Endurance 5-29.txt
endurance529,endurance_stint,exported_incomplete,2,1,1903.5,3676.8,1773.3,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_7-31\endurance529_endurance_stint_002.txt,tempFLRaw; tempRLRaw,,Endurance 5-29.txt
endurance65,endurance_stint,exported_incomplete,1,1,8.20000000000073,1844.5,1836.3,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_7-31\endurance65_endurance_stint_001.txt,tempFLRaw; tempRLRaw,,Endurance 6-5.txt
endurance612,endurance_stint,skipped_unstable_temperature_start,0,0,NaN,NaN,NaN,,,,Endurance 6-12.txt
endurosetuptesting515,moving_event,exported_incomplete,1,1,72.1,597.8,525.7,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_7-31\endurosetuptesting515_moving_event_001.txt,tempFLRaw; tempRLRaw,,Enduro Setup Testing 5-15.txt
endurosetuptesting515,moving_event,exported_incomplete,2,1,1687.6,2054,366.4,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_7-31\endurosetuptesting515_moving_event_002.txt,tempFLRaw; tempRLRaw,,Enduro Setup Testing 5-15.txt
endurosetuptesting515,moving_event,exported_incomplete,3,1,3092.7,3653.1,560.4,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_7-31\endurosetuptesting515_moving_event_003.txt,tempFLRaw; tempRLRaw,,Enduro Setup Testing 5-15.txt
endurosetuptesting515,moving_event,exported_incomplete,4,1,4646,4893.6,247.6,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_7-31\endurosetuptesting515_moving_event_004.txt,tempFLRaw; tempRLRaw,,Enduro Setup Testing 5-15.txt
firstendurancenoaeronoregen417,endurance_stint,exported_incomplete,1,1,2.59999999999991,930.9,928.3,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_7-31\firstendurancenoaeronoregen417_endurance_stint_001.txt,tempFLRaw; tempRLRaw,,First Endurance No Aero No Regen 4-17.txt
firstendurancenoaeronoregen417,endurance_stint,exported_incomplete,2,1,981,1470.5,489.5,C:\Users\olive\GitHub\RIT_RacingBrakesAnalysis\carData\F34preProcessed_split_7-31\firstendurancenoaeronoregen417_endurance_stint_002.txt,tempFLRaw; tempRLRaw,,First Endurance No Aero No Regen 4-17.txt
